"";"year";"length";"budget";"rating";"Genre";"Genre_bin"
"4440";1993;75;NA;3,2;"Comedy";1
"4441";1965;83;NA;4,6;"Comedy";1
"4442";1988;77;NA;5,3;"Comedy";1
"4443";1965;98;NA;5,2;"Comedy";1
"4444";1985;103;NA;6,9;"Documentary";1
"4445";1976;90;NA;2,3;"Comedy";1
"4446";1987;90;NA;3,7;"Comedy";1
"4447";1982;91;NA;3,8;"Comedy";1
"4448";1979;76;NA;4,5;"Comedy";1
"4449";1995;101;NA;4,2;"Comedy";1
"4450";1963;101;350000;5,3;"Comedy";1
"4451";1963;101;350000;5,3;"Romance";1
"4452";1931;8;NA;7,1;"Animation";1
"4453";1931;8;NA;7,1;"Comedy";1
"4454";1950;6;NA;6,6;"Animation";1
"4455";1950;6;NA;6,6;"Comedy";1
"4456";1939;8;NA;6,7;"Animation";1
"4457";1939;8;NA;6,7;"Comedy";1
"4458";1967;105;NA;6,1;"Drama";1
"4459";2000;119;50000000;5,8;"Drama";1
"4460";1954;82;NA;6,5;"Comedy";1
"4461";1954;82;NA;6,5;"Drama";1
"4462";1988;123;NA;6,2;"Comedy";1
"4463";1988;123;NA;6,2;"Drama";1
"4464";1954;90;NA;6,2;"Drama";1
"4465";1977;6;NA;7,5;"Animation";1
"4466";1997;90;22000000;5,4;"Comedy";1
"4467";1994;99;NA;5,1;"Drama";1
"4468";1955;7;NA;7,4;"Animation";1
"4469";1955;7;NA;7,4;"Comedy";1
"4470";1953;33;NA;9,5;"Documentary";1
"4471";1968;6;NA;5,7;"Animation";1
"4472";1938;11;NA;7,1;"Comedy";1
"4473";1949;7;NA;6,5;"Animation";1
"4474";1949;7;NA;6,5;"Comedy";1
"4475";2004;100;NA;8;"Drama";1
"4476";1944;7;NA;6,3;"Animation";1
"4477";1944;7;NA;6,3;"Comedy";1
"4478";1930;20;NA;5,2;"Comedy";1
"4479";1939;9;NA;7,7;"Animation";1
"4480";1939;9;NA;7,7;"Comedy";1
"4481";1967;10;NA;8,2;"Animation";1
"4482";1967;10;NA;8,2;"Comedy";1
"4483";1973;30;NA;6,5;"Animation";1
"4484";1948;7;NA;6;"Animation";1
"4485";1948;7;NA;6;"Comedy";1
"4486";1942;8;NA;7;"Animation";1
"4487";1942;8;NA;7;"Comedy";1
"4488";1948;7;NA;6,3;"Animation";1
"4489";1948;7;NA;6,3;"Comedy";1
"4490";1951;7;NA;8,1;"Animation";1
"4491";1951;7;NA;8,1;"Comedy";1
"4492";2002;101;NA;5,2;"Drama";1
"4493";2002;101;NA;5,2;"Romance";1
"4494";2003;20;NA;8,4;"Comedy";1
"4495";1940;9;NA;7,6;"Animation";1
"4496";1940;9;NA;7,6;"Comedy";1
"4497";1984;110;221000;5,9;"Comedy";1
"4498";1984;110;221000;5,9;"Drama";1
"4499";1999;26;NA;5,8;"Animation";1
"4500";1955;8;NA;7,4;"Animation";1
"4501";1955;8;NA;7,4;"Comedy";1
"4502";1932;6;NA;4,8;"Animation";1
"4503";1932;6;NA;4,8;"Comedy";1
"4504";1974;89;NA;5;"Drama";1
"4505";1974;93;NA;5,5;"Action";1
"4506";1958;72;NA;5,2;"Drama";1
"4507";1988;111;NA;6,9;"Drama";1
"4508";1932;86;230000;7,3;"Drama";1
"4509";2004;10;5000;6,9;"Comedy";1
"4510";1991;107;6000000;3,1;"Action";1
"4511";1982;90;NA;5,4;"Action";1
"4512";2000;93;NA;5,3;"Drama";1
"4513";2004;70;NA;6,6;"Drama";1
"4514";1959;95;NA;5,4;"Drama";1
"4515";1960;83;NA;5,1;"Drama";1
"4516";1984;105;NA;5,1;"Drama";1
"4517";1953;100;1000000;6,6;"Comedy";1
"4518";1953;100;1000000;6,6;"Drama";1
"4519";1953;100;1000000;6,6;"Romance";1
"4520";2003;114;1500000;7;"Drama";1
"4521";1996;2;NA;6,5;"Animation";1
"4522";1988;98;NA;4,6;"Drama";1
"4523";2003;85;700000;8,5;"Comedy";1
"4524";2003;85;700000;8,5;"Drama";1
"4525";2002;24;NA;8,7;"Drama";1
"4526";1963;8;NA;8,9;"Documentary";1
"4527";1969;84;NA;6;"Drama";1
"4528";1926;101;NA;8,9;"Action";1
"4529";1926;101;NA;8,9;"Drama";1
"4530";1939;112;NA;7,6;"Action";1
"4531";1939;112;NA;7,6;"Drama";1
"4532";1966;103;NA;5,6;"Action";1
"4533";1966;103;NA;5,6;"Drama";1
"4534";1931;37;NA;7,7;"Comedy";1
"4535";1957;105;NA;6,4;"Drama";1
"4536";1958;98;NA;6,9;"Drama";1
"4537";1992;92;NA;6,1;"Drama";1
"4538";1982;97;NA;7,3;"Comedy";1
"4539";1982;97;NA;7,3;"Drama";1
"4540";1982;97;NA;7,3;"Romance";1
"4541";1999;90;NA;6,7;"Drama";1
"4542";1987;102;NA;4,9;"Drama";1
"4543";1996;115;NA;7;"Romance";1
"4544";1955;6;NA;5,4;"Animation";1
"4545";1955;6;NA;5,4;"Comedy";1
"4546";1997;118;NA;4,9;"Comedy";1
"4547";1997;118;NA;4,9;"Romance";1
"4548";2000;112;9000000;5,3;"Comedy";1
"4549";2000;112;9000000;5,3;"Drama";1
"4550";2002;12;NA;6,7;"Comedy";1
"4551";2002;12;NA;6,7;"Drama";1
"4552";1949;77;NA;5,9;"Comedy";1
"4553";1949;77;NA;5,9;"Romance";1
"4554";2003;118;NA;8;"Action";1
"4555";2003;118;NA;8;"Drama";1
"4556";1938;9;NA;5,7;"Documentary";1
"4557";2004;137;6000000;6,9;"Drama";1
"4558";2000;86;NA;5,8;"Comedy";1
"4559";2000;86;NA;5,8;"Drama";1
"4560";1990;105;NA;6,1;"Drama";1
"4561";1996;112;NA;7,1;"Comedy";1
"4562";1996;112;NA;7,1;"Drama";1
"4563";1996;112;NA;7,1;"Romance";1
"4564";1918;133;NA;6,3;"Documentary";1
"4565";2000;98;NA;5,7;"Comedy";1
"4566";2000;98;NA;5,7;"Drama";1
"4567";2000;98;NA;5,7;"Romance";1
"4568";2001;135;60000000;7,8;"Drama";1
"4569";1999;107;NA;7;"Comedy";1
"4570";1954;89;NA;5;"Drama";1
"4571";1996;90;NA;7,5;"Drama";1
"4572";1996;90;NA;7,5;"Romance";1
"4573";1998;104;NA;6;"Documentary";1
"4574";1981;87;NA;4,1;"Drama";1
"4575";1981;87;NA;4,1;"Romance";1
"4576";2002;98;NA;3;"Drama";1
"4577";1964;82;NA;5,5;"Drama";1
"4578";2005;104;NA;4,6;"Comedy";1
"4579";1934;8;NA;5;"Animation";1
"4580";1934;8;NA;5;"Comedy";1
"4581";1991;90;NA;7,8;"Animation";1
"4582";1991;90;NA;7,8;"Romance";1
"4583";1932;66;NA;6,3;"Comedy";1
"4584";1932;66;NA;6,3;"Romance";1
"4585";1933;87;NA;6,7;"Drama";1
"4586";1933;87;NA;6,7;"Romance";1
"4587";1939;68;NA;5,5;"Drama";1
"4588";2004;120;30000;8,8;"Drama";1
"4589";1922;70;NA;7,9;"Drama";1
"4590";1981;114;NA;6,8;"Drama";1
"4591";2001;83;NA;7,1;"Comedy";1
"4592";2001;83;NA;7,1;"Documentary";1
"4593";1988;31;NA;7,2;"Documentary";1
"4594";1996;81;12000000;6,2;"Animation";1
"4595";1996;81;12000000;6,2;"Comedy";1
"4596";1990;34;NA;6,4;"Drama";1
"4597";1960;102;NA;5,3;"Drama";1
"4598";1952;103;NA;5;"Comedy";1
"4599";1948;72;NA;6,1;"Drama";1
"4600";1946;88;NA;6,9;"Comedy";1
"4601";2001;19;NA;6,3;"Drama";1
"4602";2005;106;14000000;5,9;"Comedy";1
"4603";2005;106;14000000;5,9;"Drama";1
"4604";1952;95;NA;6,1;"Drama";1
"4605";1952;95;NA;6,1;"Romance";1
"4606";1973;98;NA;5,3;"Drama";1
"4607";2002;30;3000;7,1;"Action";1
"4608";2002;30;3000;7,1;"Drama";1
"4609";2002;30;3000;7,1;"Romance";1
"4610";2002;101;NA;6,2;"Action";1
"4611";2002;101;NA;6,2;"Drama";1
"4612";1964;148;3000000;8;"Drama";1
"4613";1935;67;950000;6,2;"Drama";1
"4614";1991;97;NA;5,4;"Drama";1
"4615";1933;67;NA;6,4;"Drama";1
"4616";1933;67;NA;6,4;"Romance";1
"4617";1996;87;NA;5,9;"Drama";1
"4618";1996;87;NA;5,9;"Romance";1
"4619";2002;12;NA;3,7;"Comedy";1
"4620";1969;90;NA;6,2;"Comedy";1
"4621";1967;104;NA;6,8;"Comedy";1
"4622";2000;93;48000000;5,9;"Comedy";1
"4623";1946;83;NA;5,7;"Drama";1
"4624";1957;7;NA;7;"Animation";1
"4625";1957;7;NA;7;"Comedy";1
"4626";1965;102;NA;7,4;"Drama";1
"4627";1971;139;20000000;6,5;"Animation";1
"4628";1946;79;NA;6,7;"Drama";1
"4629";1955;16;NA;6,6;"Comedy";1
"4630";2003;103;NA;6,9;"Drama";1
"4631";1955;87;NA;5,3;"Comedy";1
"4632";1955;87;NA;5,3;"Romance";1
"4633";1998;96;NA;6,6;"Comedy";1
"4634";1998;96;NA;6,6;"Romance";1
"4635";1934;65;NA;7,2;"Drama";1
"4636";1945;72;NA;5,4;"Comedy";1
"4637";1941;85;NA;6,8;"Comedy";1
"4638";1964;99;NA;6,4;"Comedy";1
"4639";1997;13;NA;1,6;"Comedy";1
"4640";1951;83;NA;4,6;"Comedy";1
"4641";1951;83;NA;4,6;"Romance";1
"4642";1940;8;NA;6,6;"Animation";1
"4643";1940;8;NA;6,6;"Comedy";1
"4644";2003;98;NA;6;"Comedy";1
"4645";2003;98;NA;6;"Drama";1
"4646";1950;6;NA;7,2;"Animation";1
"4647";1950;6;NA;7,2;"Comedy";1
"4648";1951;7;NA;7,1;"Animation";1
"4649";1951;7;NA;7,1;"Comedy";1
"4650";1949;7;NA;7,2;"Animation";1
"4651";1949;7;NA;7,2;"Comedy";1
"4652";1999;77;NA;6,8;"Drama";1
"4653";2004;85;NA;6,7;"Documentary";1
"4654";1998;97;NA;7,2;"Drama";1
"4655";1971;90;NA;5,4;"Drama";1
"4656";1961;6;NA;7,2;"Animation";1
"4657";1961;6;NA;7,2;"Comedy";1
"4658";1952;7;NA;7,1;"Animation";1
"4659";1952;7;NA;7,1;"Comedy";1
"4660";1985;82;NA;4,6;"Comedy";1
"4661";1946;17;NA;6,2;"Comedy";1
"4662";1987;84;NA;8,3;"Comedy";1
"4663";1987;84;NA;8,3;"Documentary";1
"4664";2004;90;5000;9,3;"Comedy";1
"4665";1933;20;NA;6;"Comedy";1
"4666";1991;79;NA;2,9;"Animation";1
"4667";1944;72;NA;3,7;"Comedy";1
"4668";1982;90;NA;4,2;"Drama";1
"4669";1992;87;NA;5,1;"Comedy";1
"4670";1993;89;NA;4,1;"Comedy";1
"4671";1988;92;15000000;7,1;"Comedy";1
"4672";1955;7;NA;6,9;"Animation";1
"4673";1955;7;NA;6,9;"Comedy";1
"4674";1933;60;NA;6,6;"Drama";1
"4675";2000;133;NA;7,2;"Drama";1
"4676";1984;87;NA;7;"Documentary";1
"4677";1995;105;2500000;7,8;"Drama";1
"4678";1995;105;2500000;7,8;"Romance";1
"4679";2004;80;10000000;8,3;"Drama";1
"4680";2004;80;10000000;8,3;"Romance";1
"4681";1969;103;NA;6,3;"Drama";1
"4682";2002;94;NA;5,3;"Drama";1
"4683";1996;108;NA;5,9;"Drama";1
"4684";2003;15;NA;7,8;"Comedy";1
"4685";1982;60;NA;6;"Documentary";1
"4686";1994;113;NA;7,6;"Drama";1
"4687";1970;196;NA;7,9;"Drama";1
"4688";1937;72;NA;6,1;"Comedy";1
"4689";1937;72;NA;6,1;"Romance";1
"4690";1934;72;NA;5,4;"Drama";1
"4691";1928;100;NA;7,7;"Drama";1
"4692";2001;84;NA;5,1;"Comedy";1
"4693";2001;84;NA;5,1;"Drama";1
"4694";1947;112;NA;6,4;"Drama";1
"4695";1949;8;NA;8,8;"Animation";1
"4696";1971;105;NA;7;"Drama";1
"4697";1967;93;NA;8,6;"Drama";1
"4698";1967;93;NA;8,6;"Romance";1
"4699";1951;81;NA;5,8;"Comedy";1
"4700";1993;124;NA;5,6;"Action";1
"4701";1986;90;NA;4,3;"Action";1
"4702";1986;90;NA;4,3;"Drama";1
"4703";1996;89;NA;4,3;"Action";1
"4704";2001;106;40000000;6,1;"Action";1
"4705";2001;106;40000000;6,1;"Drama";1
"4706";1946;64;NA;7,3;"Drama";1
"4707";1948;62;NA;6,1;"Drama";1
"4708";2002;85;NA;5,2;"Documentary";1
"4709";1931;82;NA;6,4;"Drama";1
"4710";1942;60;NA;5;"Comedy";1
"4711";1972;72;NA;5,3;"Drama";1
"4712";1937;58;NA;5,7;"Drama";1
"4713";1930;70;NA;5,3;"Drama";1
"4714";2004;90;NA;9,4;"Documentary";1
"4715";1945;8;NA;6,8;"Animation";1
"4716";1945;8;NA;6,8;"Comedy";1
"4717";2002;105;NA;7;"Drama";1
"4718";1943;88;NA;5,2;"Drama";1
"4719";1908;9;NA;3,8;"Drama";1
"4720";1984;90;NA;6,7;"Documentary";1
"4721";1916;30;NA;7,1;"Comedy";1
"4722";2000;92;NA;4,7;"Romance";1
"4723";1934;79;NA;5,6;"Drama";1
"4724";1964;121;3900000;6,7;"Drama";1
"4725";1959;88;NA;3,1;"Comedy";1
"4726";1994;138;NA;6,4;"Drama";1
"4727";1971;88;NA;1,8;"Comedy";1
"4728";1993;88;NA;6,4;"Drama";1
"4729";1990;100;NA;6,5;"Drama";1
"4730";1981;80;NA;7,5;"Drama";1
"4731";1982;97;NA;6,2;"Drama";1
"4732";1951;110;NA;6,5;"Drama";1
"4733";1974;85;NA;3,9;"Comedy";1
"4734";1936;19;NA;4,1;"Comedy";1
"4735";1957;100;NA;5,2;"Comedy";1
"4736";1981;100;NA;5,5;"Documentary";1
"4737";1993;122;30000000;4,8;"Comedy";1
"4738";1993;122;30000000;4,8;"Drama";1
"4739";1999;113;13000000;7,9;"Comedy";1
"4740";1999;113;13000000;7,9;"Drama";1
"4741";2004;104;18000000;7,2;"Comedy";1
"4742";2004;104;18000000;7,2;"Drama";1
"4743";2001;96;NA;4,4;"Comedy";1
"4744";1979;130;NA;8;"Comedy";1
"4745";1979;130;NA;8;"Drama";1
"4746";1992;85;NA;6,7;"Drama";1
"4747";1989;157;NA;8,2;"Drama";1
"4748";1987;123;NA;8;"Documentary";1
"4749";1996;85;NA;6,3;"Documentary";1
"4750";2002;85;NA;5,1;"Drama";1
"4751";1957;107;NA;7,1;"Comedy";1
"4752";1957;107;NA;7,1;"Drama";1
"4753";2004;92;NA;7,8;"Drama";1
"4754";1976;104;NA;3,7;"Comedy";1
"4755";1998;111;5500000;4,7;"Drama";1
"4756";1998;111;5500000;4,7;"Romance";1
"4757";1952;74;50000;2,6;"Comedy";1
"4758";1964;80;NA;7,9;"Drama";1
"4759";1964;80;NA;7,9;"Documentary";1
"4760";1988;100;NA;4,6;"Comedy";1
"4761";1999;245;NA;7,2;"Documentary";1
"4762";1939;8;NA;6,6;"Animation";1
"4763";1939;8;NA;6,6;"Comedy";1
"4764";1930;8;NA;5,4;"Documentary";1
"4765";1931;9;NA;7,2;"Documentary";1
"4766";1971;90;NA;5,4;"Drama";1
"4767";2001;98;NA;7,3;"Drama";1
"4768";1988;97;NA;4,3;"Drama";1
"4769";1986;103;NA;6,1;"Drama";1
"4770";1958;106;NA;6,8;"Comedy";1
"4771";1958;106;NA;6,8;"Romance";1
"4772";1918;20;NA;7,1;"Comedy";1
"4773";1954;7;NA;6,9;"Animation";1
"4774";1954;7;NA;6,9;"Comedy";1
"4775";2004;124;NA;3;"Drama";1
"4776";1945;103;NA;7,3;"Drama";1
"4777";1960;95;NA;6,1;"Drama";1
"4778";1963;64;NA;1;"Comedy";1
"4779";1944;97;NA;1,5;"Comedy";1
"4780";2002;102;NA;6,6;"Drama";1
"4781";2001;109;NA;7,4;"Comedy";1
"4782";2001;109;NA;7,4;"Drama";1
"4783";2001;109;NA;7,4;"Romance";1
"4784";2001;100;NA;6,2;"Drama";1
"4785";2001;100;NA;6,2;"Romance";1
"4786";1989;108;NA;7,4;"Drama";1
"4787";1955;99;NA;6,3;"Comedy";1
"4788";1955;98;NA;5,5;"Comedy";1
"4789";1996;91;NA;5,9;"Drama";1
"4790";1981;90;NA;5,1;"Drama";1
"4791";2002;100;NA;7,6;"Documentary";1
"4792";1975;98;NA;4,6;"Drama";1
"4793";1942;7;NA;7,2;"Animation";1
"4794";1942;7;NA;7,2;"Comedy";1
"4795";1960;72;900000;6,1;"Comedy";1
"4796";1973;96;NA;5,8;"Drama";1
"4797";1953;6;NA;5,7;"Animation";1
"4798";1953;6;NA;5,7;"Comedy";1
"4799";1994;110;NA;5,9;"Comedy";1
"4800";1983;90;NA;5,5;"Drama";1
"4801";1953;98;NA;5,2;"Comedy";1
"4802";1967;101;NA;7,5;"Drama";1
"4803";1992;109;NA;7,2;"Comedy";1
"4804";1992;109;NA;7,2;"Romance";1
"4805";1992;210;NA;6,3;"Drama";1
"4806";1992;210;NA;6,3;"Romance";1
"4807";1957;99;NA;6,3;"Comedy";1
"4808";1999;102;NA;5,8;"Comedy";1
"4809";1991;240;NA;7,5;"Drama";1
"4810";1952;82;2606644;5,7;"Comedy";1
"4811";1952;82;2606644;5,7;"Romance";1
"4812";1934;73;800000;6,3;"Comedy";1
"4813";1996;99;NA;5,5;"Comedy";1
"4814";1952;87;NA;6,9;"Comedy";1
"4815";1954;91;NA;6,9;"Comedy";1
"4816";1952;89;NA;6,3;"Comedy";1
"4817";1987;91;NA;3;"Comedy";1
"4818";1998;71;NA;5,4;"Documentary";1
"4819";1951;108;NA;7,5;"Drama";1
"4820";1969;98;NA;7,1;"Drama";1
"4821";1987;150;NA;6,3;"Drama";1
"4822";1952;75;NA;8,5;"Comedy";1
"4823";1967;92;NA;8,2;"Comedy";1
"4824";1971;107;NA;6,4;"Comedy";1
"4825";1960;127;2203123;6,8;"Comedy";1
"4826";1960;127;2203123;6,8;"Romance";1
"4827";1943;90;NA;6,4;"Drama";1
"4828";1945;126;NA;7,2;"Drama";1
"4829";1926;92;NA;6,9;"Drama";1
"4830";1998;96;10000000;4,5;"Drama";1
"4831";1987;118;NA;6,4;"Drama";1
"4832";2003;91;18000000;4,2;"Action";1
"4833";1995;70;NA;4,3;"Drama";1
"4834";1999;90;NA;5;"Comedy";1
"4835";1999;90;NA;5;"Drama";1
"4836";1970;85;NA;8,3;"Action";1
"4837";1970;85;NA;8,3;"Comedy";1
"4838";1970;85;NA;8,3;"Drama";1
"4839";1970;101;NA;7,1;"Drama";1
"4840";1998;172;53000000;5,6;"Drama";1
"4841";1938;62;NA;6,3;"Drama";1
"4842";1936;90;NA;6,3;"Drama";1
"4843";1959;123;NA;5,7;"Drama";1
"4844";1927;99;NA;7;"Drama";1
"4845";1927;99;NA;7;"Romance";1
"4846";1970;88;NA;3,3;"Drama";1
"4847";1993;60;NA;8,1;"Documentary";1
"4848";1997;83;NA;4,7;"Drama";1
"4849";1930;30;NA;7,2;"Comedy";1
"4850";1971;84;NA;3;"Action";1
"4851";1971;84;NA;3;"Comedy";1
"4852";1971;84;NA;3;"Romance";1
"4853";1980;91;NA;6;"Comedy";1
"4854";2004;95;1500000;7,9;"Comedy";1
"4855";1973;88;NA;6,2;"Drama";1
"4856";1992;109;NA;5,6;"Drama";1
"4857";1978;13;NA;3,3;"Documentary";1
"4858";2002;52;NA;5,7;"Documentary";1
"4859";1977;91;NA;6;"Action";1
"4860";1982;94;NA;3,8;"Action";1
"4861";1983;89;NA;7,3;"Comedy";1
"4862";1970;182;NA;7,4;"Drama";1
"4863";1980;91;NA;8,3;"Drama";1
"4864";1979;104;NA;6,8;"Comedy";1
"4865";2002;95;NA;6,8;"Drama";1
"4866";2002;85;NA;1,5;"Drama";1
"4867";2002;89;NA;6,5;"Documentary";1
"4868";1996;83;NA;5;"Documentary";1
"4869";1982;90;NA;5,7;"Drama";1
"4870";1953;20;NA;7,4;"Animation";1
"4871";1953;20;NA;7,4;"Comedy";1
"4872";1990;107;NA;7,4;"Drama";1
"4873";1925;151;3900000;8;"Drama";1
"4874";1925;151;3900000;8;"Romance";1
"4875";1959;214;15000000;8,1;"Action";1
"4876";1959;214;15000000;8,1;"Drama";1
"4877";1959;214;15000000;8,1;"Romance";1
"4878";2002;115;NA;7,3;"Comedy";1
"4879";2002;115;NA;7,3;"Drama";1
"4880";2002;115;NA;7,3;"Romance";1
"4881";2002;90;NA;6,6;"Drama";1
"4882";2001;96;NA;2,7;"Action";1
"4883";1970;95;3000000;5,8;"Action";1
"4884";1970;95;3000000;5,8;"Drama";1
"4885";1979;93;239000;5,2;"Comedy";1
"4886";1955;79;NA;4,4;"Drama";1
"4887";1996;82;NA;4,2;"Drama";1
"4888";1968;90;NA;1,1;"Comedy";1
"4889";1985;87;NA;5,4;"Drama";1
"4890";2003;109;NA;6;"Drama";1
"4891";1968;90;NA;6,3;"Comedy";1
"4892";2000;72;NA;5,7;"Documentary";1
"4893";2004;97;NA;4,7;"Drama";1
"4894";1993;98;NA;6,7;"Comedy";1
"4895";1993;98;NA;6,7;"Romance";1
"4896";1955;116;NA;6,3;"Drama";1
"4897";1992;105;NA;6,6;"Drama";1
"4898";1971;41;NA;7,5;"Animation";1
"4899";1970;97;NA;6,2;"Drama";1
"4900";1997;108;NA;6,8;"Drama";1
"4901";1983;105;NA;6,6;"Drama";1
"4902";1983;105;NA;6,6;"Romance";1
"4903";2001;107;NA;7,4;"Drama";1
"4904";1999;99;20000000;3,7;"Action";1
"4905";1973;118;NA;5,8;"Drama";1
"4906";1990;85;NA;7,5;"Drama";1
"4907";1990;85;NA;7,5;"Romance";1
"4908";1941;93;NA;4,9;"Comedy";1
"4909";2004;98;NA;6;"Drama";1
"4910";1984;141;NA;7,3;"Romance";1
"4911";1966;94;NA;9;"Comedy";1
"4912";1966;94;NA;9;"Romance";1
"4913";1999;108;NA;6,7;"Comedy";1
"4914";1938;95;NA;7,1;"Drama";1
"4915";1990;98;NA;5,7;"Drama";1
"4916";1918;72;NA;7,5;"Drama";1
"4917";1931;98;NA;9,3;"Drama";1
"4918";1921;79;NA;7,3;"Comedy";1
"4919";1921;79;NA;7,3;"Drama";1
"4920";1921;79;NA;7,3;"Romance";1
"4921";2004;92;NA;6,3;"Drama";1
"4922";1933;84;NA;6,9;"Romance";1
"4923";1990;117;NA;7,2;"Documentary";1
"4924";1945;70;NA;7,5;"Documentary";1
"4925";1931;85;NA;7,7;"Drama";1
"4926";1985;96;NA;5;"Drama";1
"4927";2001;88;NA;9;"Documentary";1
"4928";1998;6;NA;9,7;"Drama";1
"4929";1942;70;NA;6,1;"Drama";1
"4930";1948;87;NA;6,9;"Drama";1
"4931";2001;99;NA;7,9;"Drama";1
"4932";1991;100;NA;3,8;"Drama";1
"4933";1994;99;NA;6,1;"Drama";1
"4934";1965;85;NA;6,4;"Drama";1
"4935";1989;89;NA;6,4;"Drama";1
"4936";1948;89;NA;8,3;"Comedy";1
"4937";1975;90;NA;6,8;"Comedy";1
"4938";1977;95;NA;6,6;"Comedy";1
"4939";1956;77;NA;5,9;"Drama";1
"4940";1988;119;NA;6,6;"Drama";1
"4941";1957;95;NA;6;"Comedy";1
"4942";2004;45;NA;7,3;"Comedy";1
"4943";1996;87;NA;7,4;"Comedy";1
"4944";2002;5;NA;6;"Animation";1
"4945";1995;100;NA;5,1;"Comedy";1
"4946";1989;94;NA;5,5;"Comedy";1
"4947";1929;20;NA;7,2;"Comedy";1
"4948";1975;70;NA;5,8;"Documentary";1
"4949";1993;83;NA;6,1;"Documentary";1
"4950";1987;108;NA;8,3;"Drama";1
"4951";2001;100;NA;5,5;"Drama";1
"4952";1963;80;NA;7;"Drama";1
"4953";1963;80;NA;7;"Romance";1
"4954";1998;81;NA;7,3;"Drama";1
"4955";1998;93;NA;6,7;"Drama";1
"4956";2000;14;NA;6,9;"Drama";1
"4957";2003;82;NA;5,1;"Drama";1
"4958";1996;95;NA;7,1;"Drama";1
"4959";2000;101;NA;6,1;"Comedy";1
"4960";2000;101;NA;6,1;"Drama";1
"4961";2001;92;NA;4;"Comedy";1
"4962";2001;92;NA;4;"Romance";1
"4963";1956;33;NA;6,2;"Drama";1
"4964";1989;102;NA;4,6;"Drama";1
"4965";1937;86;NA;7,5;"Drama";1
"4966";1937;86;NA;7,5;"Romance";1
"4967";2004;90;NA;3,9;"Comedy";1
"4968";2004;90;NA;3,9;"Romance";1
"4969";2000;102;NA;5,3;"Drama";1
"4970";1979;111;NA;7,4;"Documentary";1
"4971";1984;94;NA;3,3;"Comedy";1
"4972";1943;94;1125502;6,2;"Comedy";1
"4973";1975;83;NA;4,7;"Drama";1
"4974";1982;116;NA;5,1;"Comedy";1
"4975";1982;116;NA;5,1;"Drama";1
"4976";1982;116;NA;5,1;"Romance";1
"4977";1990;48;NA;9,4;"Documentary";1
"4978";1969;97;NA;5;"Comedy";1
"4979";1999;92;7000000;6,3;"Drama";1
"4980";1982;114;NA;5;"Comedy";1
"4981";1935;75;NA;4,3;"Drama";1
"4982";1999;88;NA;5,7;"Comedy";1
"4983";1999;88;NA;5,7;"Romance";1
"4984";1964;102;NA;7,7;"Drama";1
"4985";1997;90;NA;5,2;"Documentary";1
"4986";1997;90;NA;5,6;"Action";1
"4987";1997;90;NA;5,6;"Comedy";1
"4988";1997;90;NA;5,6;"Drama";1
"4989";1982;96;NA;3,6;"Drama";1
"4990";2004;93;NA;2,7;"Comedy";1
"4991";2004;93;NA;2,7;"Drama";1
"4992";2003;112;NA;7;"Comedy";1
"4993";1946;172;2100000;8,4;"Drama";1
"4994";1946;172;2100000;8,4;"Romance";1
"4995";2000;90;6000000;7,5;"Comedy";1
"4996";1963;142;NA;8,1;"Documentary";1
"4997";1959;121;NA;6,3;"Drama";1
"4998";1959;121;NA;6,3;"Romance";1
"4999";1981;97;NA;4,6;"Comedy";1
"5000";1981;97;NA;4,6;"Romance";1
"5001";1981;76;NA;4,9;"Documentary";1
"5002";1986;104;NA;5,6;"Comedy";1
"5003";1986;104;NA;5,6;"Drama";1
"5004";1975;89;NA;7,6;"Documentary";1
"5005";1989;97;NA;5,3;"Action";1
"5006";1989;97;NA;5,3;"Drama";1
"5007";1993;101;NA;4,4;"Action";1
"5008";1993;101;NA;4,4;"Drama";1
"5009";1995;90;NA;4,4;"Action";1
"5010";1999;90;NA;4,3;"Action";1
"5011";1990;90;NA;6,9;"Action";1
"5012";1990;90;NA;6,9;"Documentary";1
"5013";2002;86;NA;5,3;"Drama";1
"5014";1977;103;NA;6,8;"Drama";1
"5015";1992;21;NA;6,5;"Drama";1
"5016";1992;171;NA;7,1;"Drama";1
"5017";1992;171;NA;7,1;"Romance";1
"5018";1963;99;NA;6,3;"Drama";1
"5019";1983;162;NA;7,4;"Romance";1
"5020";2001;99;NA;5,2;"Comedy";1
"5021";2002;84;NA;6;"Drama";1
"5022";2002;84;NA;6;"Romance";1
"5023";1990;168;NA;6,5;"Drama";1
"5024";1983;95;NA;7;"Drama";1
"5025";2003;90;750000;4,7;"Action";1
"5026";2003;90;750000;4,7;"Drama";1
"5027";1945;82;NA;5,2;"Action";1
"5028";1954;108;NA;5,7;"Drama";1
"5029";1988;126;NA;6;"Action";1
"5030";1988;126;NA;6;"Drama";1
"5031";1988;126;NA;6;"Romance";1
"5032";1955;70;NA;4,7;"Drama";1
"5033";1990;94;NA;5,6;"Comedy";1
"5034";1978;125;NA;4,4;"Drama";1
"5035";1956;90;NA;5;"Romance";1
"5036";1926;95;NA;6,1;"Comedy";1
"5037";1926;95;NA;6,1;"Drama";1
"5038";1982;95;NA;4,7;"Comedy";1
"5039";1998;95;NA;3,2;"Comedy";1
"5040";1999;85;NA;6,9;"Drama";1
"5041";1999;85;NA;6,9;"Documentary";1
