"";"year";"length";"budget";"rating";"Action";"Animation";"Comedy";"Drama";"Documentary";"Romance"
"7297";2001;105;600000;6,8;0;0;0;1;0;1
"7298";1999;9;NA;6,5;0;0;0;0;0;0
"7299";1998;100;9000000;5,1;0;0;0;1;0;0
"7300";1955;87;NA;4,9;0;0;0;1;0;0
"7301";1977;112;NA;5,4;0;0;0;0;0;1
"7302";1935;78;NA;5,7;0;0;0;1;0;1
"7303";1938;78;NA;5,7;0;0;1;0;0;0
"7304";1985;11;NA;5,3;0;1;1;0;0;0
"7305";1995;104;NA;4,9;0;0;0;1;0;0
"7306";1990;85;NA;2,5;0;0;1;1;0;0
"7307";1996;95;NA;4;1;0;0;0;0;0
"7308";1997;95;36000000;6,7;1;0;0;0;0;0
"7309";1938;10;NA;6,3;0;0;1;0;0;0
"7310";1977;86;NA;3,2;1;0;0;0;0;0
"7311";1976;15;NA;7,4;0;0;0;0;0;0
"7312";1985;97;NA;7,6;0;0;1;1;0;0
"7313";1961;115;2500000;7,7;0;0;1;1;0;1
"7314";1937;67;NA;6,3;0;0;1;0;0;0
"7315";1982;94;NA;4;0;0;0;0;0;1
"7316";1993;88;NA;2,6;0;0;1;0;0;0
"7317";1999;110;12000000;4,2;0;0;1;0;0;0
"7318";2003;91;NA;6,8;0;0;0;0;1;0
"7319";1975;95;NA;6,2;1;0;0;0;0;0
"7320";1984;90;NA;4,4;0;0;0;1;0;0
"7321";1984;94;NA;3,6;0;0;0;0;0;0
"7322";2004;85;NA;5;0;0;1;0;0;1
"7323";1985;91;2032000;4,8;0;0;1;0;0;1
"7324";1979;100;NA;7,7;0;0;1;1;0;0
"7325";1995;106;NA;6,3;0;0;0;1;0;0
"7326";1980;104;NA;5,6;0;0;0;1;0;0
"7327";1989;94;NA;6,2;0;0;1;0;0;0
"7328";1988;87;NA;2,8;1;0;0;0;0;0
"7329";1975;95;NA;4,4;0;0;0;0;0;0
"7330";1976;92;NA;4;0;0;0;1;0;0
"7331";1993;92;NA;4,8;0;0;0;0;0;0
"7332";1950;97;NA;7,5;0;0;0;1;0;0
"7333";1961;59;NA;5;0;0;0;1;0;0
"7334";1997;90;NA;4,5;0;0;1;0;0;1
"7335";1992;30;NA;4,4;0;0;0;0;0;0
"7336";1938;81;NA;6,5;0;0;0;1;0;0
"7337";1992;100;NA;4,9;0;0;0;1;0;0
"7338";1998;90;NA;2,9;0;0;0;0;0;0
"7339";1996;158;NA;7,7;0;0;0;1;0;1
"7340";1975;96;NA;5,7;1;0;0;0;0;0
"7341";1950;91;NA;6,5;0;0;0;1;0;0
"7342";2003;4;NA;9,4;0;0;1;0;0;0
"7343";1997;96;NA;5,6;0;0;1;1;0;0
"7344";2000;2;NA;5,9;0;0;0;0;0;0
"7345";2002;73;NA;7,7;0;0;0;0;1;0
"7346";1960;97;NA;4,5;0;0;1;1;0;1
"7347";1919;6;NA;6,6;0;1;1;0;0;0
"7348";2000;8;NA;9;0;0;0;1;0;0
"7349";1991;74;NA;3,7;1;0;0;0;0;0
"7350";2000;93;NA;7,8;0;0;0;1;0;0
"7351";1996;35;NA;9,5;0;0;0;0;1;0
"7352";1996;90;500000;4;0;0;1;0;0;1
"7353";2001;83;NA;6,5;0;0;0;0;0;0
"7354";1971;84;NA;6;0;0;0;0;1;0
"7355";1993;78;NA;6,9;0;0;0;1;0;0
"7356";1983;97;NA;5,3;1;0;0;1;0;1
"7357";2000;100;NA;5,7;0;0;0;0;0;0
"7358";1984;95;NA;4,8;1;0;0;1;0;0
"7359";2001;91;4000000;4,7;1;0;0;0;0;0
"7360";1986;77;NA;2,9;0;0;0;0;0;0
"7361";1973;108;NA;6,3;0;0;0;1;0;1
"7362";1982;92;NA;6,8;0;0;0;0;1;0
"7363";1969;64;NA;7,8;0;1;0;0;0;0
"7364";1935;9;NA;6,5;0;1;0;0;0;0
"7365";1959;77;NA;4,7;0;0;0;0;0;0
"7366";1989;93;NA;3,9;0;0;0;0;0;0
"7367";2000;15;NA;8,5;0;0;0;1;0;0
"7368";1922;98;NA;7,6;0;0;0;1;0;0
"7369";1988;85;NA;7,3;0;0;1;1;0;1
"7370";1985;84;NA;6;0;0;0;1;0;0
"7371";1960;90;NA;5,4;0;0;0;1;0;0
"7372";1963;90;NA;4,9;0;0;0;0;0;0
"7373";1997;97;NA;4,8;0;0;0;1;0;1
"7374";1969;101;NA;6,4;0;0;0;1;0;0
"7375";1992;45;NA;5,6;0;0;0;0;0;0
"7376";1973;100;NA;8,1;0;0;0;1;0;0
"7377";1960;98;NA;5,5;0;0;1;0;0;0
"7378";1970;105;NA;6,5;0;0;1;0;0;0
"7379";2004;100;NA;6,5;0;0;0;1;0;0
"7380";1935;80;NA;6,8;0;0;1;0;0;0
"7381";1945;79;NA;5,8;0;0;1;0;0;0
"7382";1985;97;NA;5,7;0;0;1;0;0;0
"7383";1967;92;NA;8,9;0;0;0;1;0;0
"7384";2002;52;NA;5,6;0;0;0;0;0;0
"7385";2003;103;NA;2,5;0;0;0;1;0;1
"7386";1949;98;NA;6,4;0;0;0;0;0;0
"7387";2005;98;NA;5,2;0;0;1;0;0;0
"7388";1967;55;NA;2,2;0;0;0;1;0;0
"7389";1998;18;NA;8;0;0;0;0;0;1
"7390";1959;95;NA;6,2;0;0;1;0;0;0
"7391";1939;70;NA;4,6;0;0;1;0;0;0
"7392";2004;122;7000000;6,3;0;0;1;0;0;1
"7393";1941;92;NA;6,9;0;0;1;0;0;1
"7394";1935;83;NA;7;0;0;1;0;0;0
"7395";1948;98;NA;5,7;0;0;1;0;0;0
"7396";1936;75;NA;6;0;0;1;0;0;0
"7397";1946;85;NA;4,9;0;0;1;0;0;1
"7398";1937;103;NA;6,1;0;0;1;1;0;0
"7399";1947;16;NA;6,9;0;0;1;0;0;0
"7400";1954;6;NA;4,8;0;1;1;0;0;0
"7401";1958;78;NA;2,3;0;0;0;0;0;0
"7402";1949;87;NA;5,6;0;0;1;0;0;0
"7403";1998;89;25000000;5,2;0;0;1;0;0;0
"7404";1935;75;397000;8,1;0;0;0;1;0;0
"7405";1992;75;NA;3,5;0;0;1;0;0;0
"7406";1990;96;NA;5,6;0;0;1;0;0;0
"7407";1997;6;NA;7,1;0;1;0;0;0;0
"7408";1949;92;NA;4,7;0;0;0;1;0;0
"7409";1998;115;NA;8,8;0;0;0;0;0;1
"7410";1951;70;NA;3,6;0;0;0;0;0;0
"7411";1955;68;NA;2,9;0;0;0;0;0;0
"7412";2001;99;12000000;5,2;0;0;0;1;0;0
"7413";1961;85;NA;6,1;0;0;1;0;0;0
"7414";1987;85;NA;4,6;0;0;0;0;0;0
"7415";1947;17;NA;7,2;0;0;1;0;0;0
"7416";2004;128;NA;7,7;0;0;0;1;0;1
"7417";1936;67;NA;6,2;0;0;1;0;0;0
"7418";1968;92;NA;4,8;0;0;0;0;0;0
"7419";1960;85;NA;6,6;0;0;0;0;0;0
"7420";1966;94;NA;5;0;0;0;0;0;0
"7421";1936;7;NA;7,3;0;1;1;0;0;0
"7422";1977;176;26000000;7;1;0;0;1;0;0
"7423";1932;11;NA;7,6;0;0;0;0;0;0
"7424";1969;115;NA;6,5;1;0;0;0;0;0
"7425";1999;95;4000000;3,7;1;0;0;0;0;1
"7426";1944;89;NA;6;0;0;0;1;0;0
"7427";1957;161;3000000;8,4;0;0;0;1;0;0
"7428";1986;86;NA;4,4;0;0;0;1;0;0
"7429";1985;58;NA;5,3;0;0;0;1;0;0
"7430";1961;113;NA;7;0;0;0;1;0;0
"7431";1992;102;NA;7,2;0;0;0;1;0;0
"7432";1955;102;NA;6,9;0;0;0;1;0;0
"7433";1995;135;22000000;6,9;0;0;0;1;0;1
"7434";1958;4;NA;6,3;0;0;0;0;0;0
"7435";2002;90;NA;5,1;0;0;0;0;0;0
"7436";2001;97;26000000;7;0;0;1;0;0;1
"7437";2004;108;70000000;5,7;0;0;1;1;0;1
"7438";1945;86;NA;8,3;0;0;0;1;0;1
"7439";2003;7;NA;2,3;0;0;0;0;0;1
"7440";2000;48;NA;6,5;0;0;0;0;1;0
"7441";1991;80;NA;7,4;0;0;0;0;1;0
"7442";2002;3;NA;7,7;0;1;1;0;0;0
"7443";1933;71;NA;6,5;0;0;0;1;0;0
"7444";2002;97;NA;5,4;0;0;0;0;0;0
"7445";1964;68;NA;5,4;0;0;0;1;0;0
"7446";1986;85;NA;3,2;1;0;1;0;0;0
"7447";1986;70;NA;3;1;0;1;0;0;0
"7448";1966;88;NA;5,6;0;0;0;0;0;0
"7449";1978;91;NA;2,9;0;0;0;1;0;0
"7450";1973;85;NA;4;0;0;0;0;0;0
"7451";1954;108;2352625;6,8;0;0;0;0;0;1
"7452";1965;81;NA;5,8;0;0;0;0;0;0
"7453";1952;94;NA;4,5;0;0;0;0;0;0
"7454";1996;117;NA;6,7;0;0;0;0;0;0
"7455";1952;82;NA;7,2;1;0;0;1;0;0
"7456";1961;110;NA;5,5;0;0;0;1;0;0
"7457";2001;119;1000000;7,1;0;0;0;1;0;0
"7458";1940;114;NA;6,2;0;0;0;0;0;0
"7459";1991;94;NA;5,3;0;0;0;1;0;0
"7460";1934;83;NA;6,5;0;0;1;1;0;0
"7461";1950;110;NA;6;0;0;0;1;0;0
"7462";2003;107;NA;7;0;0;0;0;1;0
"7463";1930;69;NA;5,7;0;0;0;1;0;0
"7464";1935;83;NA;6,6;0;0;1;0;0;0
"7465";1988;110;NA;5,2;0;0;0;1;0;0
"7466";1953;68;NA;5,7;0;0;0;1;0;0
"7467";1923;80;NA;8,1;0;0;0;1;0;0
"7468";1951;96;NA;7,6;0;0;0;1;0;0
"7469";2003;105;NA;6,8;0;0;1;1;0;0
"7470";2000;25;NA;7,1;0;0;0;0;0;0
"7471";1986;108;NA;6,4;0;0;1;0;0;0
"7472";1947;92;NA;7,6;0;0;0;1;0;0
"7473";1945;67;NA;6,3;0;0;0;1;0;0
"7474";1967;89;NA;4,5;0;0;0;1;0;0
"7475";1966;75;NA;7,1;0;0;1;0;0;0
"7476";1996;88;NA;6,1;0;0;0;1;0;0
"7477";1968;100;NA;7,9;0;0;1;0;0;0
"7478";1949;90;NA;6,1;0;0;0;0;0;0
"7479";1982;87;NA;6,2;0;0;0;1;0;0
"7480";1932;65;NA;5,5;0;0;0;0;1;0
"7481";2000;98;10000000;6,1;0;0;1;0;0;0
"7482";1974;112;1500000;7,1;0;0;0;1;0;0
"7483";1986;4;NA;2,7;0;1;0;0;0;0
"7484";1989;8;NA;5,4;0;0;0;0;0;0
"7485";1997;100;NA;4,9;0;0;1;0;0;0
"7486";1955;83;NA;5,3;0;0;1;0;0;0
"7487";1937;11;NA;5,5;0;0;1;0;0;0
"7488";1945;92;NA;6,2;0;0;0;0;0;0
"7489";1985;97;NA;6,5;0;0;0;0;1;0
"7490";2003;105;35000000;5,6;0;0;1;0;0;0
"7491";1999;121;32000000;6,7;0;0;0;1;0;0
"7492";2003;82;150000;5,6;0;0;0;1;0;1
"7493";1938;102;NA;8,2;0;0;1;0;0;1
"7494";1978;104;NA;6,2;0;0;1;0;0;0
"7495";1982;111;NA;5,5;0;0;1;1;0;0
"7496";1949;90;NA;5,2;0;0;0;1;0;0
"7497";1933;80;NA;5;0;0;1;1;0;0
"7498";1934;80;NA;5,7;0;0;0;1;0;1
"7499";1940;61;NA;5,7;0;0;0;1;0;0
"7500";1970;54;NA;5,9;0;0;0;0;1;0
"7501";2002;83;NA;6,4;0;0;1;0;0;0
"7502";1939;105;NA;6,2;0;0;0;1;0;0
"7503";2005;7;2500;5,7;1;0;1;0;0;0
"7504";1995;84;NA;3;0;0;1;0;0;0
"7505";1987;133;NA;7;0;0;1;1;0;1
"7506";1931;72;NA;6;0;0;1;0;0;0
"7507";1942;91;NA;6,8;0;0;0;0;0;0
"7508";1902;1;NA;3,1;0;0;0;0;1;0
"7509";1929;86;NA;6,9;0;0;0;1;0;0
"7510";1933;61;239308;6;0;0;0;1;0;0
"7511";1934;104;NA;5,8;0;0;1;1;0;0
"7512";1997;110;NA;6,6;0;0;1;0;0;1
"7513";1984;84;8000000;7,3;0;0;1;0;0;0
"7514";1935;99;NA;6,5;0;0;1;0;0;0
"7515";1935;68;NA;4,6;0;0;1;0;0;1
"7516";1941;75;NA;4,8;0;0;1;0;0;0
"7517";1935;101;NA;7;0;0;0;0;0;0
"7518";1937;110;NA;6,6;0;0;0;0;0;0
"7519";1940;102;NA;7,3;0;0;0;0;0;0
"7520";1929;101;379000;6;0;0;0;0;0;0
"7521";1938;63;NA;6,2;0;0;0;1;0;0
"7522";1944;115;NA;6,3;0;0;0;0;0;0
"7523";1931;15;NA;5,9;0;0;1;0;0;0
"7524";1939;109;NA;5,3;0;0;0;1;0;0
"7525";1933;90;NA;6,5;0;0;0;0;0;0
"7526";1958;12;NA;4,4;0;0;0;0;0;0
"7527";1932;60;NA;5,3;0;0;0;0;0;0
"7528";1933;85;NA;4,9;0;0;0;0;0;0
"7529";1930;10;NA;4,9;0;0;0;0;0;0
"7530";2003;111;NA;7,7;0;0;0;0;1;0
"7531";1966;97;NA;5,4;0;0;0;1;0;0
"7532";2004;89;NA;7,2;0;0;0;1;0;0
"7533";2002;84;NA;8,4;0;0;0;0;1;0
"7534";2003;80;NA;4,9;0;0;0;1;0;0
"7535";1999;100;NA;6,1;0;0;0;1;0;0
"7536";2000;29;NA;2,1;0;0;0;1;0;0
"7537";2002;17;NA;6,3;0;0;0;1;0;0
"7538";2004;14;NA;4,1;0;0;1;0;0;0
"7539";2002;23;NA;5,8;1;0;0;0;0;0
"7540";1950;93;NA;7,2;0;0;0;1;0;0
"7541";1996;108;65000000;5,7;1;0;0;0;0;0
"7542";1995;97;NA;3,5;0;0;0;0;0;0
"7543";1936;84;NA;5,7;0;0;0;1;0;0
"7544";1919;90;88000;7,4;0;0;0;1;0;1
"7545";1910;17;NA;3,9;0;0;0;1;0;0
"7546";1999;81;NA;3,4;0;0;0;1;0;0
"7547";1985;6;NA;8,5;0;1;1;0;0;0
"7548";1933;68;NA;4,9;0;0;0;1;0;0
"7549";1981;93;NA;7,2;0;0;0;1;0;0
"7550";1996;92;NA;6,5;0;0;0;1;0;0
"7551";1998;83;NA;3,7;0;0;0;1;0;0
"7552";1994;97;NA;4,3;0;0;0;1;0;0
"7553";2000;94;1000000;6,8;0;0;1;1;0;0
"7554";1993;98;NA;3,6;0;0;0;0;0;0
"7555";1948;89;NA;5,8;0;0;0;1;0;0
"7556";1954;96;NA;7;0;0;0;1;0;0
"7557";1962;75;NA;4,8;0;0;0;0;0;0
"7558";1959;6;NA;6,4;0;1;1;0;0;0
"7559";1932;76;889154;7,2;0;0;0;1;0;0
"7560";1987;75;NA;5,7;0;0;0;0;1;0
"7561";1985;70;NA;4,7;0;0;0;0;1;0
"7562";1965;89;NA;6,5;0;0;0;0;0;0
"7563";1995;106;NA;8,3;0;0;0;0;0;0
"7564";1940;60;NA;5,6;0;0;0;1;0;0
"7565";2002;15;NA;7;0;0;0;1;0;0
"7566";1935;8;NA;7,4;0;1;1;0;0;0
"7567";1975;60;NA;7,5;0;0;0;0;1;0
"7568";1998;90;600000;6,1;0;0;0;1;0;0
"7569";2002;91;NA;5,1;0;0;0;1;0;0
"7570";1926;24;NA;6,2;0;0;1;0;0;0
"7571";1980;116;NA;5,8;0;0;1;1;0;1
"7572";1969;86;NA;8,9;0;0;0;0;0;0
"7573";1952;80;NA;5,2;0;0;0;0;0;0
"7574";1925;66;NA;8,2;0;0;0;1;0;0
"7575";1978;81;NA;6,8;1;0;0;1;0;0
"7576";1991;90;NA;7,2;0;0;0;0;0;0
"7577";1979;71;NA;5,2;0;0;0;1;0;0
"7578";1990;30;NA;9,1;0;0;0;0;0;0
"7579";1932;11;NA;7,5;0;0;0;0;0;0
"7580";1993;121;22000000;7,5;0;0;0;1;0;0
"7581";1990;91;NA;4,3;1;0;0;0;0;0
"7582";1939;58;NA;5,2;0;0;0;0;0;0
"7583";2002;90;NA;7,5;0;0;0;0;1;0
"7584";1979;90;NA;6,3;0;0;0;0;0;0
"7585";2001;89;NA;5,6;0;0;0;1;0;0
"7586";2004;90;70000;4,2;0;0;0;1;0;0
"7587";1981;58;NA;7,9;0;0;0;0;1;0
"7588";2000;95;NA;5,9;1;0;0;1;0;0
"7589";1997;89;NA;5,7;1;0;0;1;0;0
"7590";1956;7;NA;7;0;1;1;0;0;0
"7591";1995;16;NA;9,2;0;0;0;0;0;0
"7592";1997;80;NA;6,1;0;0;0;1;0;0
"7593";2001;10;NA;5,8;0;0;0;0;0;0
"7594";1998;20;NA;6,6;0;0;0;0;0;0
"7595";1959;77;NA;6,2;0;0;1;0;0;0
"7596";1999;8;NA;6,7;0;1;0;1;0;0
"7597";2000;114;12000000;7,1;0;0;0;0;0;0
"7598";2003;85;NA;6,6;0;1;0;1;0;0
"7599";2001;76;NA;6,9;0;0;0;0;1;0
"7600";1944;7;NA;7,8;0;1;1;0;0;0
"7601";1971;95;NA;6,4;0;0;0;1;0;0
"7602";1994;115;NA;2,5;0;0;0;0;1;0
"7603";1940;88;NA;6,9;0;0;1;1;0;0
"7604";2003;83;NA;7,5;0;0;0;0;1;0
"7605";1938;90;NA;5,4;0;0;1;0;0;0
"7606";1940;87;NA;4,4;0;0;1;0;0;0
"7607";1998;109;NA;8,8;0;0;0;0;0;0
"7608";1984;106;300000;6,7;0;0;1;1;0;0
"7609";1973;88;NA;4,3;0;0;0;0;0;0
"7610";2004;94;NA;4,9;0;0;0;1;0;0
"7611";1992;104;NA;7,6;0;0;0;0;1;0
"7612";1997;92;NA;6,3;0;0;0;1;0;0
"7613";1975;103;NA;6,8;0;0;0;0;1;0
"7614";1976;90;NA;4,6;1;0;0;1;0;0
"7615";1971;92;NA;4,2;0;0;0;0;0;0
"7616";1968;96;NA;5,6;0;0;0;1;0;0
"7617";1936;6;NA;7,2;0;1;1;0;0;0
"7618";1965;7;NA;5,9;0;1;1;0;0;0
"7619";1958;145;NA;6,5;0;0;0;1;0;0
"7620";1995;98;23800;6,4;0;0;1;1;0;0
"7621";1973;95;NA;4,3;0;0;1;0;0;0
"7622";1957;92;NA;7;0;0;0;1;0;0
"7623";2003;68;500000;4,6;0;0;0;0;1;0
"7624";1957;94;NA;6,4;0;0;1;0;0;0
"7625";1995;102;NA;6,9;0;0;0;1;0;0
"7626";1949;60;NA;5,3;0;0;0;0;0;0
"7627";1947;98;NA;6,3;0;0;0;1;0;0
"7628";2003;54;NA;9,4;0;0;0;0;1;0
"7629";1940;92;NA;5,7;0;0;0;0;0;0
"7630";2003;119;10000000;5,1;0;0;0;1;0;0
"7631";2001;36;NA;7,4;0;0;0;0;0;0
"7632";2002;109;8000000;5,9;0;0;1;1;0;1
"7633";1926;85;NA;9;0;0;0;1;0;1
"7634";1935;70;NA;7,4;1;0;0;0;0;0
"7635";1998;104;NA;5,7;0;0;0;1;0;0
"7636";1951;90;NA;8,3;0;0;0;1;0;0
"7637";1994;97;NA;7,2;0;0;0;1;0;0
"7638";1980;132;NA;6,7;0;0;0;1;0;0
"7639";2003;101;81000000;6,4;0;0;1;0;0;1
"7640";1992;25;NA;1,4;0;0;1;0;0;0
"7641";2004;70;NA;8,7;0;0;0;0;1;0
"7642";1978;94;NA;7,8;1;0;0;1;0;0
"7643";1990;71;NA;4,9;0;0;0;0;1;0
"7644";1976;84;NA;2,4;1;0;0;0;0;0
"7645";1992;85;NA;6,3;1;0;0;0;1;0
"7646";1982;87;NA;6,5;1;0;0;1;0;0
"7647";1977;88;NA;5,9;0;0;0;0;1;0
"7648";1979;88;NA;6,3;1;0;0;1;0;0
"7649";1980;91;NA;5,4;1;0;0;0;0;0
"7650";1984;87;NA;2,2;1;0;0;0;0;0
"7651";1996;90;500000;4,5;0;0;0;0;0;0
"7652";1989;118;NA;5,3;0;0;1;0;0;0
"7653";1976;97;NA;6,3;0;0;1;0;0;0
"7654";2002;118;NA;6,9;0;0;0;1;0;1
"7655";1955;113;NA;7,2;0;0;0;0;0;0
"7656";1954;100;NA;4,7;0;0;1;1;0;1
"7657";1928;11;NA;7,9;0;0;0;0;1;0
"7658";1981;90;NA;4,7;0;0;0;1;0;0
"7659";1988;83;NA;5,3;0;0;0;1;0;0
"7660";1976;90;NA;7,6;0;0;1;0;0;0
"7661";2000;108;10000000;6;0;0;1;1;0;0
"7662";2001;6;NA;6,2;0;0;0;0;0;0
"7663";1998;16;NA;6,5;0;0;0;0;0;0
"7664";1983;90;NA;5,3;0;0;0;1;0;0
"7665";1982;99;NA;6,6;0;0;0;1;0;0
"7666";1993;97;NA;6,4;0;0;0;0;0;0
"7667";1914;33;NA;5,9;0;0;0;1;0;0
"7668";1947;98;NA;7,6;0;0;0;1;0;0
"7669";1946;58;NA;3;0;0;0;0;0;0
"7670";1977;90;NA;5,2;0;0;0;1;0;0
"7671";1978;107;NA;3,2;0;0;0;0;1;0
"7672";1953;81;NA;7;0;0;0;1;0;0
"7673";1976;115;NA;7,6;0;0;1;1;0;0
"7674";1996;90;NA;7,3;0;0;1;0;0;0
"7675";2000;50;NA;3,7;0;0;0;1;0;0
"7676";1995;95;NA;5,7;0;0;1;1;0;0
"7677";1998;106;6000000;6;0;0;0;1;0;1
"7678";2000;85;NA;6,3;0;0;0;1;0;0
"7679";1994;85;NA;4,2;0;0;0;1;0;1
"7680";1997;12;NA;3,3;0;0;1;0;0;1
"7681";1970;102;NA;6,8;0;0;0;1;0;0
"7682";2004;90;NA;4,6;0;0;1;1;0;0
"7683";2000;3;NA;5,5;0;1;1;0;0;0
"7684";2003;82;NA;5,8;0;0;0;1;0;0
"7685";1998;103;NA;7,4;0;0;1;0;0;1
"7686";2003;84;NA;6,8;0;0;1;1;0;0
"7687";1987;95;NA;6,4;0;0;0;0;0;0
"7688";1978;81;NA;3,9;1;0;0;1;0;0
"7689";2004;93;NA;7,3;0;0;0;1;0;1
"7690";1971;80;NA;5,8;0;0;1;1;0;0
"7691";2002;92;1000000;7,5;0;0;1;0;0;0
"7692";1996;35;NA;7,9;0;0;0;0;1;0
"7693";1949;7;NA;5,8;0;1;1;0;0;0
"7694";2001;84;13000000;5,1;0;0;1;1;0;1
"7695";1953;17;NA;6,2;0;0;1;0;0;0
"7696";1966;94;NA;4,4;0;0;0;0;0;0
"7697";1998;11;NA;5,2;0;0;0;0;0;0
"7698";1922;7;NA;7,1;0;1;1;0;0;0
"7699";1930;8;NA;5,7;0;0;0;0;0;0
"7700";1996;94;NA;3,2;0;0;1;0;0;0
"7701";1971;105;NA;7;0;0;0;0;0;0
"7702";1948;7;NA;7,7;0;1;1;0;0;0
"7703";1950;77;NA;5,2;1;0;1;0;0;1
"7704";1938;125;NA;6,4;0;0;0;1;0;0
"7705";1958;119;NA;6,1;0;0;0;1;0;1
"7706";1958;78;NA;7,1;0;0;0;0;0;0
"7707";1995;92;NA;5,6;0;0;1;1;0;1
"7708";1940;82;NA;7,2;0;0;1;0;0;0
"7709";2001;85;NA;6,5;0;0;1;1;0;0
"7710";2004;10;NA;9,5;0;0;1;0;0;0
"7711";1928;70;NA;9,9;0;0;1;0;0;0
"7712";1941;84;180000;6,8;0;0;1;0;0;0
"7713";1947;77;NA;6,3;0;0;1;0;0;0
"7714";1939;237;NA;7,1;0;0;0;0;0;0
"7715";1977;90;NA;6,2;0;0;0;0;0;0
"7716";1934;10;NA;4,3;0;0;0;0;0;0
"7717";1979;98;NA;5,4;0;0;0;0;0;0
"7718";1999;99;NA;2;1;0;0;0;0;0
"7719";1972;102;NA;5,8;0;0;0;0;0;0
"7720";1944;9;NA;7,2;0;1;1;0;0;0
"7721";1951;60;NA;4,4;0;0;0;0;0;0
"7722";1959;66;25000;6,6;0;0;1;0;0;0
"7723";1988;94;NA;4,9;0;0;0;0;0;0
"7724";1917;53;NA;4,9;0;0;0;0;0;0
"7725";1894;1;NA;4,6;0;0;0;0;1;0
"7726";1966;89;NA;5,5;0;0;0;0;0;0
"7727";1968;97;NA;3,9;0;0;0;0;0;0
"7728";1943;76;NA;6,3;0;0;0;0;0;0
"7729";1957;66;NA;5,3;0;0;0;0;0;0
"7730";1975;94;NA;4,7;0;0;0;1;0;0
"7731";1948;90;NA;7,2;0;0;1;0;0;0
"7732";1997;83;2100000;6,8;0;0;1;0;0;0
"7733";1959;99;NA;6,5;0;0;0;1;0;0
"7734";1959;107;NA;6,7;0;0;0;1;0;0
"7735";2002;94;NA;3,4;0;0;0;1;0;0
"7736";1983;97;NA;4,7;0;0;0;1;0;0
"7737";1962;9;NA;4,9;0;1;1;0;0;0
"7738";1980;90;NA;5,6;0;0;0;1;0;0
"7739";1997;84;NA;4,6;0;0;0;1;0;0
"7740";2003;100;NA;7,1;0;0;1;1;0;1
"7741";1999;105;NA;5,6;0;0;0;1;0;0
"7742";1981;96;10000000;6,2;0;0;1;0;0;0
"7743";1978;113;NA;7,2;0;0;0;1;0;0
"7744";1984;110;NA;5,5;0;0;1;1;0;1
"7745";1990;105;NA;4,4;0;0;0;1;0;0
"7746";2001;18;NA;4,6;0;0;0;0;1;0
"7747";1967;79;NA;7,7;0;0;0;1;0;0
"7748";1981;87;NA;6,3;0;0;1;1;0;1
"7749";1998;90;NA;5,7;0;0;1;0;0;0
"7750";1996;104;NA;5,3;1;0;0;0;0;0
"7751";2000;2;NA;3,9;0;1;0;0;0;0
"7752";1999;105;NA;7,2;0;0;0;0;1;0
"7753";1997;99;NA;7,1;0;0;0;1;0;0
"7754";1999;11;2000;5,2;0;0;0;1;0;0
"7755";2004;93;NA;6,6;0;0;1;1;0;0
"7756";1996;107;NA;6,8;0;0;1;1;0;0
"7757";1996;122;NA;6,8;0;0;1;1;0;0
"7758";1998;102;NA;4,1;0;0;0;1;0;0
"7759";1996;19;NA;8;0;0;1;0;0;0
"7760";1998;110;1500000;7,2;0;0;1;1;0;0
"7761";1944;90;NA;6,3;0;0;0;0;0;0
"7762";1947;69;NA;4,7;0;0;0;0;0;0
"7763";1976;123;6000000;5,6;0;0;1;0;0;0
"7764";1952;66;NA;5,5;0;0;0;0;0;0
"7765";1901;2;NA;3,4;0;0;0;0;0;0
"7766";2001;23;NA;5,7;0;0;0;0;0;0
"7767";1894;1;NA;5;0;0;0;0;1;0
"7768";1897;1;NA;4,1;0;0;0;0;1;0
"7769";1961;72;NA;4,7;0;0;0;0;0;0
"7770";2001;98;15000000;7;0;0;1;1;0;0
"7771";1979;89;NA;7,5;0;0;1;0;0;0
"7772";1992;86;NA;5,4;1;0;1;0;0;0
"7773";2001;96;NA;8,4;0;0;0;0;0;0
"7774";1993;90;NA;1,9;0;0;0;0;0;0
"7775";1975;99;NA;4,1;0;0;0;0;0;0
"7776";2003;14;NA;5,5;0;0;0;0;0;0
"7777";1998;93;8500000;2,9;1;0;1;0;0;0
"7778";2003;22;28000;6,7;0;0;0;1;0;0
"7779";2001;84;NA;3,2;0;0;1;0;0;0
"7780";1941;6;NA;5,9;0;1;1;0;0;0
"7781";1998;96;45000000;7,4;0;1;1;0;0;0
"7782";1999;82;NA;6,2;0;0;1;0;0;0
"7783";1945;105;NA;7,5;0;0;0;1;0;1
"7784";1969;6;NA;2,9;0;1;1;0;0;0
"7785";1942;102;NA;6,2;0;0;0;1;0;0
"7786";1952;85;NA;5,9;0;0;0;0;0;0
"7787";1942;7;NA;7,2;0;1;1;0;0;0
"7788";1944;8;NA;6,4;0;1;1;0;0;0
"7789";1948;7;NA;7,7;0;1;1;0;0;0
"7790";1976;90;NA;6,7;0;1;0;0;1;0
"7791";1944;7;NA;7;0;1;1;0;0;0
"7792";1982;74;NA;6,6;0;1;1;0;0;0
"7793";1954;7;NA;7,8;0;1;1;0;0;0
"7794";1932;7;NA;6,4;0;1;1;0;0;0
"7795";1956;7;NA;7,6;0;1;1;0;0;0
